Time (local),Ozone (ppm)
2025-07-07_05:11:47,0.020
2025-07-07_05:12:42,0.021
2025-07-07_05:14:33,0.021
2025-07-07_05:15:28,0.021
2025-07-07_05:16:24,0.020
2025-07-07_05:17:19,0.021
2025-07-07_05:18:15,0.020
2025-07-07_05:19:10,0.021
2025-07-07_05:20:05,0.022
2025-07-07_05:21:01,0.023
2025-07-07_05:21:56,0.023
2025-07-07_05:22:51,0.023
2025-07-07_05:23:47,0.023
2025-07-07_05:24:42,0.023
2025-07-07_05:25:38,0.023
2025-07-07_05:27:28,0.022
2025-07-07_05:28:24,0.022
2025-07-07_05:29:19,0.023
2025-07-07_05:30:14,0.023
2025-07-07_05:31:10,0.023
2025-07-07_05:32:05,0.024
2025-07-07_05:33:01,0.024
2025-07-07_05:33:56,0.024
2025-07-07_05:34:51,0.023
2025-07-07_05:35:47,0.023
2025-07-07_05:36:42,0.024
2025-07-07_05:37:38,0.024
2025-07-07_05:39:28,0.024
2025-07-07_05:40:24,0.024
2025-07-07_05:41:19,0.024
2025-07-07_05:42:14,0.023
2025-07-07_05:43:10,0.024
2025-07-07_05:44:05,0.023
2025-07-07_05:45:01,0.023
2025-07-07_05:45:56,0.023
2025-07-07_05:46:52,0.024
2025-07-07_05:47:47,0.023
2025-07-07_05:48:42,0.023
2025-07-07_05:49:38,0.023
2025-07-07_05:51:28,0.023
2025-07-07_05:52:24,0.023
2025-07-07_05:53:19,0.023
2025-07-07_05:54:15,0.024
2025-07-07_05:55:10,0.024
2025-07-07_05:56:05,0.024
2025-07-07_05:57:01,0.024
2025-07-07_05:57:56,0.024
2025-07-07_05:58:52,0.024
2025-07-07_05:59:47,0.024
2025-07-07_06:00:42,0.024
2025-07-07_06:01:38,0.023
2025-07-07_06:03:28,0.024
2025-07-07_06:04:24,0.025
2025-07-07_06:05:19,0.024
2025-07-07_06:06:14,0.025
2025-07-07_06:07:10,0.024
2025-07-07_06:08:05,0.024
2025-07-07_06:09:01,0.024
2025-07-07_06:09:56,0.022
2025-07-07_06:10:51,0.024
2025-07-07_06:11:47,0.024
2025-07-07_06:12:42,0.024
2025-07-07_06:14:33,0.023
2025-07-07_06:15:28,0.023
2025-07-07_06:16:24,0.023
2025-07-07_06:17:19,0.024
2025-07-07_06:18:14,0.023
2025-07-07_06:19:10,0.023
2025-07-07_06:20:05,0.024
2025-07-07_06:21:00,0.024
2025-07-07_06:21:56,0.022
2025-07-07_06:22:51,0.022
2025-07-07_06:23:47,0.022
2025-07-07_06:24:42,0.023
2025-07-07_06:25:37,0.024
2025-07-07_06:27:28,0.024
2025-07-07_06:28:23,0.024
2025-07-07_06:29:19,0.025
2025-07-07_06:30:14,0.024
2025-07-07_06:31:09,0.024
2025-07-07_06:32:05,0.024
2025-07-07_06:33:00,0.024
2025-07-07_06:33:55,0.025
2025-07-07_06:34:51,0.024
2025-07-07_06:35:46,0.025
2025-07-07_06:36:42,0.025
2025-07-07_06:37:37,0.024
2025-07-07_06:39:28,0.024
2025-07-07_06:40:23,0.024
2025-07-07_06:41:18,0.024
2025-07-07_06:42:14,0.023
2025-07-07_06:43:09,0.024
2025-07-07_06:44:04,0.023
2025-07-07_06:45:00,0.023
2025-07-07_06:45:55,-999
2025-07-07_06:46:51,0.024
2025-07-07_06:47:46,0.024
2025-07-07_06:48:41,0.024
2025-07-07_06:49:37,0.024
2025-07-07_06:51:27,0.024
2025-07-07_06:52:23,0.024
2025-07-07_06:53:18,0.024
2025-07-07_06:54:13,0.024
2025-07-07_06:55:09,0.024
2025-07-07_06:56:04,0.024
2025-07-07_06:56:59,0.024
2025-07-07_06:57:55,0.024
2025-07-07_06:58:50,0.024
2025-07-07_06:59:46,0.024
2025-07-07_07:00:41,0.024
2025-07-07_07:01:36,0.024
2025-07-07_07:03:27,0.023
2025-07-07_07:04:22,0.023
2025-07-07_07:05:18,0.024
2025-07-07_07:06:13,0.023
2025-07-07_07:07:08,0.023
2025-07-07_07:08:04,0.022
2025-07-07_07:08:59,0.022
2025-07-07_07:09:55,0.023
2025-07-07_07:10:50,0.022
2025-07-07_07:11:45,0.021
2025-07-07_07:12:41,0.022
2025-07-07_07:14:31,0.022
2025-07-07_07:15:27,0.022
2025-07-07_07:16:22,0.022
2025-07-07_07:17:18,0.022
2025-07-07_07:18:13,0.022
2025-07-07_07:19:08,0.023
2025-07-07_07:20:04,0.022
2025-07-07_07:20:59,0.022
2025-07-07_07:21:54,0.022
2025-07-07_07:22:50,0.022
2025-07-07_07:23:45,0.020
2025-07-07_07:24:40,0.019
2025-07-07_07:25:36,0.020
2025-07-07_07:27:27,0.021
2025-07-07_07:28:22,0.022
2025-07-07_07:29:17,0.022
2025-07-07_07:30:13,0.022
2025-07-07_07:31:08,0.023
2025-07-07_07:32:03,0.023
2025-07-07_07:32:59,0.022
2025-07-07_07:33:54,0.022
2025-07-07_07:34:49,0.022
2025-07-07_07:35:45,0.022
2025-07-07_07:36:40,0.019
2025-07-07_07:38:31,0.019
2025-07-07_07:39:26,0.020
2025-07-07_07:40:22,0.021
2025-07-07_07:41:17,0.022
2025-07-07_07:42:12,0.022
2025-07-07_07:43:08,0.022
2025-07-07_07:44:03,0.022
2025-07-07_07:44:58,0.023
2025-07-07_07:45:54,0.022
2025-07-07_07:46:49,0.022
2025-07-07_07:47:45,0.022
2025-07-07_07:48:40,0.022
2025-07-07_07:49:35,0.022
2025-07-07_07:51:26,0.022
2025-07-07_07:52:21,0.021
2025-07-07_07:53:17,0.022
2025-07-07_07:54:12,0.021
2025-07-07_07:55:08,0.021
2025-07-07_07:56:03,0.022
2025-07-07_07:56:58,0.022
2025-07-07_07:57:54,0.022
2025-07-07_07:58:49,0.022
2025-07-07_07:59:44,0.021
2025-07-07_08:00:40,0.021
2025-07-07_08:02:30,0.022
2025-07-07_08:03:26,0.022
2025-07-07_08:04:21,0.021
2025-07-07_08:05:17,0.022
2025-07-07_08:06:12,0.021
2025-07-07_08:07:07,0.022
2025-07-07_08:08:03,0.022
2025-07-07_08:08:58,0.022
2025-07-07_08:09:53,0.022
2025-07-07_08:10:49,0.022
2025-07-07_08:11:44,0.021
2025-07-07_08:12:40,0.021
2025-07-07_08:14:30,0.022
2025-07-07_08:15:26,0.022
2025-07-07_08:16:21,0.021
2025-07-07_08:17:16,0.022
2025-07-07_08:18:12,0.022
2025-07-07_08:19:07,0.022
2025-07-07_08:20:03,0.022
2025-07-07_08:20:58,0.022
2025-07-07_08:21:53,0.023
2025-07-07_08:22:49,0.024
2025-07-07_08:23:44,0.023
2025-07-07_08:24:39,0.023
2025-07-07_08:26:30,0.023
2025-07-07_08:27:25,0.023
2025-07-07_08:28:21,0.023
2025-07-07_08:29:16,0.023
2025-07-07_08:30:12,0.022
2025-07-07_08:31:07,0.023
2025-07-07_08:32:02,-999
2025-07-07_08:32:58,-999
2025-07-07_08:33:53,0.023
2025-07-07_08:34:49,0.023
2025-07-07_08:35:44,0.022
2025-07-07_08:36:39,0.022
2025-07-07_08:38:30,0.022
2025-07-07_08:39:25,0.023
2025-07-07_08:40:21,0.023
2025-07-07_08:41:16,0.023
2025-07-07_08:42:12,0.023
2025-07-07_08:43:07,0.023
2025-07-07_08:44:03,0.023
2025-07-07_08:44:58,0.023
2025-07-07_08:45:53,0.023
2025-07-07_08:46:49,0.023
2025-07-07_08:47:44,0.023
2025-07-07_08:48:39,0.023
2025-07-07_08:50:30,0.022
2025-07-07_08:51:25,0.023
2025-07-07_08:52:21,0.023
2025-07-07_08:53:16,0.023
2025-07-07_08:54:11,0.022
2025-07-07_08:55:07,0.023
2025-07-07_08:56:02,0.023
2025-07-07_08:56:57,0.022
2025-07-07_08:57:53,0.022
2025-07-07_08:58:48,0.022
2025-07-07_08:59:44,0.022
2025-07-07_09:00:39,0.022
2025-07-07_09:02:30,0.022
2025-07-07_09:03:25,0.022
2025-07-07_09:04:21,0.021
2025-07-07_09:05:16,0.021
2025-07-07_09:06:11,0.021
2025-07-07_09:07:07,0.020
2025-07-07_09:08:02,0.020
2025-07-07_09:08:57,0.020
2025-07-07_09:09:53,0.019
2025-07-07_09:10:48,0.019
2025-07-07_09:11:44,0.020
2025-07-07_09:12:39,0.019
2025-07-07_09:14:30,0.018
2025-07-07_09:15:25,0.018
2025-07-07_09:16:20,0.018
2025-07-07_09:17:16,0.019
2025-07-07_09:18:11,0.019
2025-07-07_09:19:06,0.019
2025-07-07_09:20:02,0.019
2025-07-07_09:20:57,0.019
2025-07-07_09:21:53,0.020
2025-07-07_09:22:48,0.020
2025-07-07_09:23:43,0.019
